,set_point,filter_measure_variable,gross_measure_variable,error
70,150,77.65483897270687,72.30759445817519,72.34516102729313
71,150,77.37767812450528,68.32788346144253,72.62232187549472
72,150,77.1939660799548,72.48814340556072,72.8060339200452
73,150,75.24564750753413,67.31390271548199,74.75435249246587
74,150,73.94066093391413,65.09397402999616,76.05933906608587
75,150,73.65808075602959,74.22826566492925,76.34191924397041
76,150,73.82741520506418,73.34675880355167,76.17258479493582
77,150,73.48695650644346,73.63507645035068,76.51304349355654
78,150,73.72631965398574,72.74657261328667,76.27368034601426
79,150,73.58670206704645,77.2564456005336,76.41329793295355
80,150,73.61592154985769,77.91854553789523,76.38407845014231
81,150,73.06106601764664,66.29862641262041,76.93893398235336
82,150,73.60169180775897,85.46591112674508,76.39830819224103
83,150,73.38681678927217,72.24847773672697,76.61318321072783
84,150,73.62025206966916,78.4500479630086,76.37974793033084
85,150,73.15695919331263,68.67401164557253,76.84304080668737
86,150,73.07332849319795,77.97998241704305,76.92667150680205
87,150,73.08933817129135,75.23005238763504,76.91066182870865
88,150,72.9390517186447,71.8960674677919,77.0609482813553
89,150,73.22138364568207,73.52133301529443,76.77861635431793
90,150,73.25337931669836,72.94750787850082,76.74662068330164
91,150,73.38035900508095,70.86747722909446,76.61964099491905
92,150,73.25605902069108,70.0021437177637,76.74394097930892
93,150,73.59831313201428,74.15898494194552,76.40168686798572
94,150,73.89072410281442,70.9421934459987,76.10927589718558
95,150,74.11487849130076,78.71135343465619,75.88512150869924
96,150,74.0074981624034,71.19915222560425,75.9925018375966
97,150,73.99083854637956,73.30188412987411,76.00916145362044
98,150,74.29813860083596,78.89257370241432,75.70186139916404
99,150,74.15913566476932,74.47638687920131,75.84086433523068
100,150,74.12892893986334,77.31441103977534,75.87107106013666
101,150,74.23949990602574,68.51004573586881,75.76050009397426
102,150,73.54770976657719,71.63010833777382,76.45229023342281
103,150,73.85846662012536,78.46361480769015,76.14153337987464
104,150,73.41325914991513,69.54589855880438,76.58674085008487
105,150,73.40790349803369,68.56689860794383,76.59209650196631
106,150,72.83499583556173,66.52182916760349,77.16500416443827
107,150,72.42537385466024,67.03761276960516,77.57462614533976
108,150,72.58408341062231,75.07025858703359,77.41591658937769
109,150,72.44648776774184,70.7694201576851,77.55351223225816
110,150,72.67283833850192,77.47451929370239,77.32716166149808
111,150,72.57298130933347,68.8703366457252,77.42701869066653
112,150,72.79835116629515,74.50954085699726,77.20164883370485
113,150,72.88884832288787,75.96892807379949,77.11115167711213
114,150,73.03468915459912,73.85901008022397,76.96531084540088
115,150,72.84548178047393,74.92720595215245,77.15451821952607
116,150,73.2114196730942,78.51791007800969,76.7885803269058
117,150,73.21746671577769,73.42282498354395,76.78253328422231
118,150,72.8624302536879,71.79184446061879,77.1375697463121
119,150,72.52704724687787,67.76872674300063,77.47295275312213
120,150,71.98855803014996,66.5446267052172,78.01144196985004
121,150,72.25255157167234,73.78991656631634,77.74744842832766
122,150,72.23650274248249,71.3091317539766,77.76349725751751
123,150,72.030893583691,74.35143163186069,77.969106416309
124,150,72.59619195119566,80.8518659088974,77.40380804880434
125,150,72.67199761494484,70.08301188292738,77.32800238505516
126,150,73.0307588819659,73.69705450802459,76.9692411180341
127,150,73.27903133540066,72.00306183830016,76.72096866459934
128,150,72.77583571797724,65.00634623856527,77.22416428202276
129,150,72.6374119068068,68.00094393427648,77.3625880931932
130,150,72.27246236956685,70.17552854890316,77.72753763043315
131,150,72.70584786265879,77.5380465075642,77.29415213734121
132,150,72.34669762354247,67.32653607467067,77.65330237645753
133,150,72.20100878458386,73.05515129462755,77.79899121541614
134,150,71.94943652972206,68.8275649829882,78.05056347027794
135,150,71.90980495435505,74.13457444481195,78.09019504564495
136,150,71.57156714530397,71.7531538969881,78.42843285469603
137,150,71.77668649633478,77.52521200416003,78.22331350366522
138,150,71.96298076047881,75.51772974349966,78.03701923952119
139,150,72.42927048280056,77.09452118943574,77.57072951719944
140,150,72.53637454775135,68.68670800423301,77.46362545224865
141,150,72.26860730595206,68.43457173033065,77.73139269404794
142,150,72.78926386933902,81.72226302171588,77.21073613066098
143,150,72.5267467504627,69.10108925433438,77.4732532495373
144,150,72.07660400726091,71.84901104486138,77.92339599273909
145,150,71.85235231939535,65.597978125616,78.14764768060465
146,150,71.62454121138728,69.14083234786325,78.37545878861272
147,150,71.64490665864224,72.41037078339915,78.35509334135776
148,150,71.88289264139081,69.7660658935367,78.11710735860919
149,150,72.14013669687718,73.14582504400371,77.85986330312282
150,150,72.21868332755716,71.74646116250246,77.78131667244284
