time,fx,fy,fz,fx_filtered,fy_filtered,fz_filtered
12.14191484451294,0.091940075,0.070705995,0.059565812,0.09549931,0.072426416,0.057289377
12.1535804271698,0.091940075,0.070705995,0.059565812,0.095378034,0.07220139,0.057130348
12.165095567703247,0.091940075,0.070705995,0.059565812,0.09525676,0.07197637,0.056971323
12.17800521850586,0.091940075,0.070705995,0.059565812,0.09513549,0.07175135,0.05681229
12.189542531967163,0.13205692,0.08176836,0.0730675,0.09534814,0.07207742,0.05712546
12.201122760772705,0.13205692,0.08176836,0.0730675,0.0955608,0.072403505,0.057438623
12.214336156845093,0.13205692,0.08176836,0.0730675,0.095773466,0.07272958,0.057751786
12.225610256195068,0.13205692,0.08176836,0.0730675,0.095986135,0.07305566,0.058064952
12.237491130828857,0.09825124,0.079610586,0.08103073,0.09552269,0.07333858,0.05853738
12.248894453048706,0.09825124,0.079610586,0.08103073,0.09572285,0.07341872,0.05902936
12.261622667312622,0.09825124,0.079610586,0.08103073,0.095923014,0.07349886,0.05952134
12.273155450820923,0.09825124,0.079610586,0.08103073,0.096123174,0.073579,0.060013324
12.285967826843262,0.09825124,0.079610586,0.08103073,0.09632334,0.07365914,0.060505316
12.297405004501343,0.09825124,0.079610586,0.08103073,0.09652349,0.07373927,0.060997296
12.308585166931152,0.09032579,0.07561664,0.06379151,0.09675485,0.07366153,0.061078332
12.31997013092041,0.09032579,0.07561664,0.06379151,0.0969862,0.07358378,0.061159372
12.331932306289673,0.09032579,0.07561664,0.06379151,0.09721754,0.07350604,0.061240412
12.344661474227905,0.09032579,0.07561664,0.06379151,0.09744889,0.073428296,0.06132145
12.358595371246338,0.09032579,0.07561664,0.06379151,0.097366005,0.073428825,0.061367467
12.369646549224854,0.0865587,0.06845409,0.040988922,0.09720778,0.0732861,0.060957436
12.380683183670044,0.0865587,0.06845409,0.040988922,0.09704955,0.07314337,0.060547404
12.392261743545532,0.0865587,0.06845409,0.040988922,0.09689133,0.07300065,0.060137372
12.40364933013916,0.0865587,0.06845409,0.040988922,0.0967331,0.072857924,0.05972734
12.414953708648682,0.0865587,0.06845409,0.040988922,0.09657274,0.07234463,0.05911161
12.42649531364441,0.08934705,0.079112455,0.062465638,0.09646814,0.072044514,0.058925405
12.438705444335938,0.08934705,0.079112455,0.062465638,0.096363544,0.0717444,0.058739208
12.451537609100342,0.08934705,0.079112455,0.062465638,0.096258946,0.07144427,0.058553003
12.465346097946167,0.08934705,0.079112455,0.062465638,0.09615435,0.07114415,0.05836681
